Model,sigma,gamma,beta_gain,beta_loss,loss_aversion_ratio,mse,mae,corr,success,n_trials,sigma_lb,sigma_ub,gamma_lb,gamma_ub,beta_gain_lb,beta_gain_ub,beta_loss_lb,beta_loss_ub
anthropic/claude-haiku-4.5,0.8921189609603015,0.801145931,220.9557148411865,244.25014707872566,1.1054257965415477,0.053194329,0.20672385784367284,0.7114814845463379,TRUE,18,0.8807118259921478,0.903842833,0.7950031479790433,0.8075561822012272,220.95571099331946,220.95571854432995,244.25014347286876,244.2501505252363
deepseek/deepseek-chat,0.8636898135863477,0.8212897257773857,181.3982938431693,149.19452391208688,0.8224692787963888,0.040315892,0.1899794049302083,0.7693762450707844,TRUE,18,0.8447194058163661,0.8793453714814461,0.8118907420787663,0.8324739236916058,181.3982758367897,181.39831105289971,149.19450370339572,149.19454695765924
deepseek/deepseek-r1-0528,0.8628513917861577,0.8110271519209652,831.7259997528683,711.3314526866598,0.8552473445558013,0.006782994,0.059443377,0.9829023556799868,TRUE,18,0.819038732,0.873120477,0.8052472044865265,0.8377592910839095,831.7259843618898,831.7260134476334,711.3314234079596,711.3314632240492
google/gemini-2.5-flash,0.9332468121820581,0.8929198065792041,26.721972341721987,42.46265481848983,1.5890539169592413,0.015167456572161862,0.096985151,0.8703760389071207,TRUE,18,0.8591354832326574,2.779825925357263,0.8204326896549317,3.4962531059148905,5.861179911925788,115.0591405302199,17.92881159068428,1000
google/gemini-2.5-pro,0.8118956881105931,0.8402172529998865,814.8136921,856.8651470033526,1.0516086748089586,0.013688719462213476,0.075498268,0.9626079130291092,TRUE,18,0.7799501058898981,0.8578803151672834,0.8124310219848719,0.8619486866865027,814.8136797435225,814.8137076976534,856.8651350810347,856.8651617703487
openai/gpt-4.1,0.7903756333021409,2.171925892236303,205.31079033424314,0.01,4.8706646074081825e-05,0.050142449054436024,0.15649447268502728,0.5453204678088454,TRUE,18,0.5224926266193601,0.9132344686431486,1.4644470491183161,2.398576367529826,203.17681072949853,206.2731286596666,0.01,27.911998087122996
openai/gpt-5.1,0.8681284496134074,0.8105175118544958,1000,801.7858823883729,0.8017858823883729,0.00102307,0.025286761435700085,0.9982348170269976,TRUE,18,0.8239910729584311,1.0676140754397616,0.8045754652527297,0.9997252931068376,999.9999850596836,1000,801.7858555676961,801.7876129
