Model,sigma,gamma,beta_gain,beta_loss,loss_aversion_ratio,mse,mae,corr,success,n_trials,sigma_lb,sigma_ub,gamma_lb,gamma_ub,beta_gain_lb,beta_gain_ub,beta_loss_lb,beta_loss_ub
anthropic/claude-haiku-4.5,1.0733743283324393,0.9802518319099273,4.808159437306828,22.87337999659492,4.757200815580043,0.077891688,0.2340185215088075,0.5481816953465093,TRUE,138,1.0089039521540721,1.1365057667722556,0.9164340376855461,1.0970288661518195,3.2735945320860913,6.586943020319636,19.081293305367904,28.06650543741238
deepseek/deepseek-chat,0.8333508282131218,0.7236829630547031,11.025799913992577,0.01,0.000906964,0.048147481122788924,0.1693758047694977,0.45158603557668026,TRUE,138,0.6791483868909799,0.9562472578139868,0.6770729881000543,0.7780467181625101,8.432471150441916,14.01580663346591,0.01,1.241593317813704
deepseek/deepseek-r1-0528,0.9926080494825662,1.0036421393602988,1000,345.5064171927882,0.3455064171927882,0.008982618,0.048172413,0.9808236518890256,TRUE,138,0.9694981884157492,1.0124971066228856,0.9776918216515238,1.0397699482818228,999.9999963,1000,345.50638198699926,345.5064426337712
google/gemini-2.5-flash,1.5666478661523338,0.8164947842459352,2.6143568309303364,14.344907666423243,5.486973888,0.047328001,0.17566012067994377,0.5814787971829568,TRUE,138,1.4577433546773337,1.6819747117303756,0.7679377935343861,0.8851444139052523,1.293873011484718,3.889311933350576,11.833296662796586,17.213004410359954
google/gemini-2.5-pro,0.9764984332856721,0.9940209643694248,146.91458842338076,100.32734240747497,0.682895712,0.024550012528459488,0.097580013,0.9376437467570877,TRUE,138,0.9553675206784679,0.993390052,0.9748272080344893,1.0248033433521202,146.91445748958196,146.91470060615612,100.3271649467256,100.32753953862401
openai/gpt-4.1,1.5259738178484956,0.7447878646577096,0.01,39.473993965519135,3947.3993965519135,0.10558405124146554,0.25800601993815786,0.5761938872049179,TRUE,138,1.4447716666172905,1.5930902137595435,0.7210474612290017,0.7713052764551687,0.01,1.5700912918885668,34.63213205347077,47.519093521213506
openai/gpt-5.1,1.013526268,0.9862520189809145,459.63956476905923,1000,2.175617759325046,0.009608713,0.033136368632396544,0.9810702897086832,TRUE,138,0.9880588798011046,1.0318075518620586,0.9634841070317852,1.0224965031327216,459.6395435063306,459.63957898577087,999.9999967791824,1000
