Model,n_trials,sigma_m1,gamma_m1,lambda_m1,beta_m1,mse_m1,mae_m1,corr_m1,sigma_m2,gamma_m2,lambda_m2,beta_m2,mse_m2,success_m2,mae_m2,corr_m2,sigma_m3,gamma_m3,lambda_m3,beta_m3,mse_m3,success_m3,mae_m3,corr_m3,lam_m4,kappa_m4,alpha_m4,mse_m4,success_m4,mae_m4,corr_m4
anthropic/claude-haiku-4.5,18,1,1,1,14.344862771735027,0.075066916,0.22449175835978188,0.5418092928503331,277.3733380112769,1.2069884231595112,1.2562920899070595,1,0.073085179,TRUE,0.23012434422103192,0.5932958441992181,0.9165451622011457,0.8313542677138496,3.8919830894402914,88.76777723400727,0.063344667,TRUE,0.19812230947490725,0.7182698878550586,0.01,82.45886636250009,0,0.070689445,TRUE,0.2246951293783228,0.5789816182153095
deepseek/deepseek-chat,18,1,1,1,95.24058597384655,0.061613636,0.20060104680609295,0.7144915580492802,294.2065025801251,1.4861735169395998,1.4116030476539623,1,0.070055051,TRUE,0.20960405143214314,0.5243630946523207,0.8357501330810525,0.8369947053156928,0.4312592534454672,159.36166323628927,0.041552037930565194,TRUE,0.16749529965743057,0.7545372586716412,0.01,60.50778288,0,0.075166205,TRUE,0.22013554317138137,0.47645784079810055
deepseek/deepseek-r1-0528,18,1,1,1,1000,0.014496991173913117,0.069622027,0.9716955825263593,391.48823307863967,1.345810615492723,3.191151421987106,1,0.13999663673267226,TRUE,0.3367697828833547,0.5794653909564741,0.7888617316880463,0.8567244722089731,999.9989888285239,1000,0.011990740769639767,TRUE,0.065740284,0.9751525644374138,0.01,108.31424987881651,0,0.1431167980029996,TRUE,0.3245290102233111,0.5277331795289852
google/gemini-2.5-flash,18,1,1,1,18.103601398647648,0.01633757,0.097916667,0.8549356432047094,13.521571664297355,1.388622191644557,2.034325053254028,1,0.022391275213004668,TRUE,0.12124640355088835,0.832683021,0.946841076,0.9417528481807711,1.5838575309309584,19.72741252782458,0.015256455,TRUE,0.096911829,0.8695439355332742,0.01,127.09611737045627,0.3125190908558831,0.025102053975466606,TRUE,0.12897753238085208,0.7659275727791981
google/gemini-2.5-pro,18,1,1,1,744.9770748755615,0.029354136,0.092018811,0.9346473783956265,0.7360761076163846,0.8634590114419352,1000,1,0.10055928320606033,TRUE,0.2434391475810889,0.6838890514195364,0.8187587373895518,0.8348030786332077,0.5690288011764323,1000,0.018563229712447105,TRUE,0.078923452,0.9544406817177145,0.01,87.09350274822462,0,0.14862949156563426,TRUE,0.34110899195302097,0.45011414997592986
openai/gpt-4.1,18,1,1,1,0.01,0.096261482,0.2472777777731482,-0.151139782,0.8098924821493872,0.6926325355241294,70.21165415006921,1,0.083228419,TRUE,0.2279740586795926,0.20090807235747493,0.5109421381578064,1.2962661273285199,0.01,149.57852148805844,0.052686661655123486,TRUE,0.16126862619180002,0.5278898562654418,0.01,994.1431949674821,537.5852215198396,0.09633353,TRUE,0.2474444441481487,-0.263295448
openai/gpt-5.1,18,1,1,1,1000,0.001971911,0.022754761706073948,0.9963161520250358,337.61153519377984,1.3419944887944169,4.129973635554466,1,0.15391874058544955,TRUE,0.35172434196930413,0.6650077728200627,1.3310225335370294,1.157944551579191,1000,1000,0.001739045,TRUE,0.014832141095055658,0.9971142526533993,0.01,143.85566334268552,0,0.14999612154199846,TRUE,0.31816559501417646,0.609491173
