Model,n_trials,sigma_m1,gamma_m1,lambda_m1,beta_m1,mse_m1,mae_m1,corr_m1,sigma_m2,gamma_m2,lambda_m2,beta_m2,mse_m2,success_m2,mae_m2,corr_m2,sigma_m3,gamma_m3,lambda_m3,beta_m3,mse_m3,success_m3,mae_m3,corr_m3,lam_m4,kappa_m4,alpha_m4,mse_m4,success_m4,mae_m4,corr_m4
anthropic/claude-haiku-4.5,138,1,1,1,11.247852647488296,0.08400845,0.24652550380478588,0.49924897165805354,0.3786751660210568,12.47461961210983,13.053203984741161,1,0.070716397,TRUE,0.21781999918745726,0.5682136588440712,0.7042844228854102,2.103075456274173,0.9002774573699536,12.391089497756875,0.058934597196002934,TRUE,0.19248232747581978,0.6558550001163742,0.017546771458629304,780.2529684776911,181.17459560014382,0.1097791904719214,TRUE,0.2842338286312482,0.004304509
deepseek/deepseek-chat,138,1,1,1,5.626728221,0.056963401398760855,0.1886643216249129,0.3732009475986736,0.2108129710528428,25.4119783,9.788605486368123,1,0.043454967,TRUE,0.15546940141443263,0.5275460013629327,0.7993554885443397,2.5096827078637265,0.48495933175541106,8.806552550070494,0.039216498114250875,TRUE,0.15416471784189892,0.5880971904298902,0.01,0,2.2526768111609488,0.065354271,TRUE,0.1988651473226847,-0.109163977
deepseek/deepseek-r1-0528,138,1,1,1,407.0090357,0.010707519053596177,0.048818852,0.976488254,1.2411048846922201,1.319009057,505.7118928352953,1,0.10296366888896964,TRUE,0.24218038564359562,0.7204254404643982,1.0542449391456408,0.9244481432697712,1.203220951039321,1000,0.005223013,TRUE,0.037972411,0.9898173488756415,0.01,50.77355667822287,0,0.19283985585067503,TRUE,0.41168017297273496,0.3037268171724418
google/gemini-2.5-flash,138,1,1,1,8.893150115833771,0.056683204,0.19834981966684206,0.5305188276237445,1.5550913579169818,0.8118028228948013,12.97504429266627,1,0.047231271,TRUE,0.17170168268771863,0.5631040038447558,1.3105917704046615,0.6748548137028422,0.9067108188370311,16.560842724123464,0.036540288269415744,TRUE,0.1599524240290888,0.6890299568130903,0.8118028303399839,0,1.3234500110934653,0.071063341,TRUE,0.21695256977210073,0.24742782738710728
google/gemini-2.5-pro,138,1,1,1,127.11434987272808,0.026208869379733078,0.099794282,0.9353877717195488,1.288923892346977,1.3894224038066698,131.53183800558546,1,0.095572288,TRUE,0.23459506205852226,0.6960992705846558,0.8426992388810945,1.2383435067929824,1.0503018687628047,128.45090603483536,0.020606404320653905,TRUE,0.09426201,0.9470424400849913,0.01,46.01656784008593,0,0.16797898372108586,TRUE,0.37806000325817457,0.2979836032164205
openai/gpt-4.1,138,1,1,1,13.513450060716435,0.13547393191993962,0.31218783357134916,0.49211209949909945,0.019464814765090117,0.15025429236874868,1000,1,0.10866471874119259,TRUE,0.2644905946407539,0.5073834022480406,1.1230546245856345,0.6445584356701607,3.4248315718817763,17.634523087890976,0.080114297,TRUE,0.21590490712483806,0.6875281638269483,0.01,0,2.4127608906047597,0.16899296019380025,TRUE,0.3730065869426586,-0.026002852
openai/gpt-5.1,138,1,1,1,1000,0.010436168617788996,0.031788981636936296,0.979563088,1.3245339768244806,1.3515206170498772,1000,1,0.11001092996608933,TRUE,0.23867985212188425,0.7381795383792304,1.042915529794837,0.9362748085229985,999.9999999999993,1000,0.000866123,TRUE,0.011758099917967293,0.9983873351343198,0.01,58.72028946684212,0,0.2128667332373266,TRUE,0.4366252213501161,0.33005324776110334
